,food_id,food_name,food_group,food_subgroup,nutri_score,nutri_score_category,hasQuality
0,4,Kiwi,Fruits,Tropical fruits,-1,A,"['high_vitaminK1', 'high_vitaminB5']"
1,6,Garden onion,Vegetables,Onion-family vegetables,-4,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB2', 'high_vitaminB5', 'high_vitaminB6']"
2,9,Chives,Herbs and Spices,Herbs,-3,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
3,11,Cashew nut,Nuts,Nuts,14,D,"['high_iron', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB11']"
4,12,Pineapple,Fruits,Tropical fruits,2,B,"['high_vitaminB5', 'high_vitaminB8']"
5,13,Dill,Herbs and Spices,Herbs,7,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB8', 'high_vitaminB11']"
6,14,Custard apple,Fruits,Tropical fruits,3,C,['high_vitaminB5']
7,15,Wild celery,Herbs and Spices,Spices,-1,A,"['high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
8,16,Peanut,Nuts,Nuts,7,C,"['high_potassium', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
9,17,Burdock,Vegetables,Root vegetables,0,B,['high_vitaminB5']
10,18,Horseradish,Herbs and Spices,Spices,-7,A,['high_vitaminB5']
11,19,Tarragon,Herbs and Spices,Herbs,9,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB6', 'high_vitaminB11']"
12,20,Mugwort,Herbs and Spices,Herbs,-5,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB2', 'high_vitaminB3']"
13,21,Asparagus,Vegetables,Shoot vegetables,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
14,22,Oat,Cereals and cereal products,Cereals,10,C,"['high_phosphorus', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
15,23,Star fruit,Fruits,Tropical fruits,-2,A,['high_vitaminB5']
16,24,Brazil nut,Nuts,Nuts,8,C,"['high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
17,26,Borage,Herbs and Spices,Oilseed crops,-1,A,['high_vitaminB5']
18,27,Chinese mustard,Vegetables,Cabbages,-4,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
19,32,Brussel sprouts,Vegetables,Cabbages,-6,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
20,33,Kohlrabi,Vegetables,Root vegetables,-4,A,['high_vitaminB5']
21,37,Pigeon pea,Pulses,Peas,-3,A,"['high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
22,38,Tea,Teas,Teas,-7,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB2', 'high_vitaminB3', 'high_vitaminB5']"
23,39,Capers,Herbs and Spices,Spices,6,C,"['high_sodium', 'high_vitaminK1', 'high_vitaminB5']"
24,40,Pepper,Vegetables,Fruit vegetables,9,C,"['high_sodium', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
25,41,Papaya,Fruits,Tropical fruits,-1,A,['high_vitaminB5']
26,42,Safflower,Herbs and Spices,Oilseed crops,-5,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
27,43,Caraway,Herbs and Spices,Spices,6,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1']"
28,46,Roman camomile,Herbs and Spices,Herbs,-3,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB2']"
29,47,Chickpea,Pulses,Peas,8,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
30,48,Endive,Vegetables,Leaf vegetables,-3,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
31,49,Chicory,Vegetables,Root vegetables,0,B,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
32,50,Chinese cinnamon,Herbs and Spices,Spices,3,C,"['high_calcium', 'high_iron', 'high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB5']"
33,51,Ceylon cinnamon,Herbs and Spices,Spices,-2,A,"['high_calcium', 'high_iron']"
34,52,Watermelon,Gourds,Gourds,1,B,['high_vitaminB5']
35,53,Lime,Fruits,Citrus,-1,A,['high_vitaminB5']
36,54,Lemon,Fruits,Citrus,-5,A,"['high_vitaminB5', 'high_vitaminB8']"
37,56,"Mandarin orange (Clementine, Tangerine)",Fruits,Citrus,2,B,"['high_vitaminB5', 'high_vitaminB8']"
38,57,Sweet orange,Fruits,Citrus,12,D,"['high_vitaminB5', 'high_vitaminB8']"
39,59,Arabica coffee,Coffee and coffee products,Coffee,14,D,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB3', 'high_vitaminB5']"
40,61,Coriander,Herbs and Spices,Herbs,4,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
41,62,Common hazelnut,Nuts,Nuts,-5,A,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
42,63,Saffron,Herbs and Spices,Spices,10,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB6', 'high_vitaminB11']"
43,64,Muskmelon,Gourds,Gourds,1,B,['high_vitaminB5']
44,65,Cucumber,Gourds,Gourds,6,C,"['high_vitaminB5', 'high_vitaminB8']"
45,66,Cucurbita,Gourds,Gourds,6,C,"['high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
46,67,Cumin,Herbs and Spices,Spices,12,D,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB6']"
47,68,Turmeric,Herbs and Spices,Spices,13,D,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB3', 'high_vitaminB6']"
48,69,Quince,Fruits,Pomes,1,B,['high_vitaminB5']
49,70,Lemon grass,Herbs and Spices,Herbs,-1,A,"['high_potassium', 'high_iron', 'high_vitaminB5', 'high_vitaminB11']"
50,72,Wild carrot,Vegetables,Root vegetables,0,B,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
51,74,Cardamom,Herbs and Spices,Spices,8,C,"['high_potassium', 'high_calcium', 'high_iron']"
52,76,Loquat,Fruits,Tropical fruits,0,B,[]
53,79,Common buckwheat,Cereals and cereal products,Cereals,10,C,"['high_vitaminEGamma', 'high_vitaminB5', 'high_vitaminB8']"
54,81,Fig,Fruits,Other fruits,6,C,"['high_potassium', 'high_vitaminB5', 'high_vitaminB8']"
55,82,Fennel,Herbs and Spices,Herbs,4,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5']"
